"ID","adj.pval"
"4101",0.0734697669829617
"140564",0.304448621591359
"246704",1
"256076",5.89939539290828e-18
"192111",2.00848649648277e-08
"152940",1
"91050",1
"139105",1
"256815",1
"220082",0.00386741274802435
"137196",1
"114041",0.0137120670320612
"121599",1
"157680",1
"27334",1
"283284",1
"79842",1
"7166",1
"149095",1
"255394",1
"57705",1.31869078652152e-05
"2849",1
"285600",1
"143686",0.000641124215549875
"255193",0.0685324627214153
"256302",9.37868682779646e-15
"257240",1
"84891",1
"154075",9.48938148583535e-07
"137362",0.329523194072785
"170393",0.0621690493583702
"7652",1
"255101",1
"284369",1
"160287",1
"117194",1
"126147",0.0516410283666251
"128209",1
"126402",0.0495739677466361
"160857",1
"160298",1
"222029",1
"90649",1
"221472",0.0741411822246155
"161829",1
"55719",1
"148545",1
"100130934",1
"285492",1
"162137",1
"283080",1
"200576",1
"150135",1
"157927",1
"158401",1
"283238",1
"116123",1
"202865",1
"255520",4.58467283895905e-10
"125981",1
"134864",1
"202459",1
"221241",1
"85003",0.0400480827747314
"202374",0.223047598533483
"123355",1
"171391",0.310371005675335
"4253",1
"122876",0.0802439809500816
"117159",1
"118460",1
"440073",1
"131540",1
"199857",1
"129285",1
"65062",1
"163050",1
"126792",1
"90203",1
"388",0.0544145581214886
"113178",1
"1056",0.379577891140753
"352954",1
"875",0.693175857077912
"404203",1
"128977",1
"25911",1
"51302",0.010364230069226
"729991",1
"7675",1
"338382",0.0027699598954637
"1841",5.92933987458535e-22
"51275",1
"283870",1
"54621",0.000121639663954955
"10230",0.0979691511098356
"81857",1
"4907",1
"253982",4.89903539681724e-07
"63947",1
"4591",0.0745018155792823
"64283",1
"3993",1
"9180",1
"3340",4.05878190218897e-05
"340419",0.000137738497052489
"1106",1
"79650",0.966839633863471
"11066",1
"10457",1
"285753",1
"636",0.00537416504133402
"7559",1
"4651",1
"8671",1.77002575625783e-11
"9652",1
"411",1
"55691",4.79924722898901e-06
"9841",1
"55132",1
"80017",0.65272714322502
"100288797",0.172029909272302
"56246",1
"7572",1
"10190",1.23596885283389e-07
"50717",1
"27293",0.0270784646661738
"23019",4.50315533517921e-05
"10558",1
"645676",1
"6419",1
"7499",1
"100533106",7.02658683142206e-10
"89853",7.83358075514368e-19
"144577",0.00349354603986257
"2046",1
"159989",1
"219902",1
"79639",1
"9093",4.10007008667194e-14
"374378",7.88752753922113e-22
"79707",1
"317781",6.49139816026607e-06
"10426",1
"155370",3.61656788596497e-08
"10302",1
"957",2.70686022208911e-05
"155435",1
"554202",0.0522510382533407
"169981",1
"84899",3.84253705536094e-08
"84548",0.262388253698516
"65065",9.04531276401263e-15
"64866",1
"9706",2.27781692627678e-13
"9498",1
"85464",1.80889907868977e-13
"133874",0.00261727140390443
"57097",1
"160777",1
"51144",1
"22829",1
"253827",3.07805202847929e-12
"149685",0.031833882736237
"54462",0.0620054359647166
"55680",1.72134616375799e-18
"79819",0.00389427535986
"283507",1
"89876",0.0216980159950756
"9197",5.85296148967663e-07
"56650",1
"4967",1
"51317",1
"54834",1
"79648",1
"90199",1
"10771",1
"55663",1
"117581",0.15438563108114
"9679",1
"51125",1
"30011",2.08278101729598e-08
"255374",1.21112200620535e-06
"9203",1
"124599",1
"285315",1
"27109",7.14447832670914e-05
"285172",1
"66004",1
"254122",1
"378108",1
"554206",1
"341032",1
"79949",1
